sample,group,condition
tm01,uh14,primary_manual
tm02,uh14,primary_s2
tm03,uh14,primary_octomac
tm04,uh16,primary_manual
tm05,uh16,primary_s2
tm06,uh16,primary_octomac
tm07,uh17,primary_manual
tm08,uh17,primary_s2
tm09,uh17,primary_octomac
tm10,uh19,primary_manual
tm11,uh19,primary_s2
tm12,uh19,primary_octomac
tm13,uh23,primary_manual
tm14,uh23,primary_s2
tm15,uh23,primary_octomac
tm16,uh24,primary_manual
tm17,uh24,primary_s2
tm18,uh24,primary_octomac
tm19,uh25,primary_manual
tm20,uh25,primary_s2
tm21,uh25,primary_octomac
tm22,uh26,primary_manual
tm23,uh26,primary_s2
tm24,uh26,primary_octomac
tm25,uh10,dmso
tm26,uh10,vt104
tm27,uh10,fhd286
tm28,uh10,ihk44
tm29,uh19,dmso
tm30,uh19,vt104
tm31,uh19,fhd286
tm32,uh19,ihk44_5nM
tm33,uh19,ihk44_20nM
tm34,uh19,ihk44_100nM
